test	suite	result	exit_status	wall_seconds	cycles	log
rv64ui-p-srlw	isa	PASS	0	9.743		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srlw/simulation.log
rv64ui-p-sub	isa	PASS	0	8.081		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sub/simulation.log
rv64ui-p-subw	isa	PASS	0	7.924		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-subw/simulation.log
rv64ui-p-sw	isa	PASS	0	9.281		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sw/simulation.log
rv64ui-p-xor	isa	PASS	0	9.536		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-xor/simulation.log
rv64ui-p-xori	isa	PASS	0	7.172		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-xori/simulation.log
rv64ui-v-addi	isa	PASS	0	46.515		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-addi/simulation.log
rv64ui-v-add	isa	PASS	0	49.64		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-add/simulation.log
rv64ui-v-addiw	isa	PASS	0	66.323		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-addiw/simulation.log
rv64ui-v-addw	isa	PASS	0	67.217		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-addw/simulation.log
rv64ui-v-andi	isa	PASS	0	57.187		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-andi/simulation.log
rv64ui-v-and	isa	PASS	0	89.594		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-and/simulation.log
rv64ui-v-auipc	isa	PASS	0	42.824		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-auipc/simulation.log
rv64ui-v-beq	isa	PASS	0	44.583		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-beq/simulation.log
rv64ui-v-bge	isa	PASS	0	44.112		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bge/simulation.log
rv64ui-v-bgeu	isa	PASS	0	44.081		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bgeu/simulation.log
rv64ui-v-blt	isa	PASS	0	44.778		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-blt/simulation.log
rv64ui-v-bltu	isa	PASS	0	43.66		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bltu/simulation.log
rv64ui-v-bne	isa	PASS	0	43.663		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-bne/simulation.log
rv64ui-v-jal	isa	PASS	0	39.872		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-jal/simulation.log
rv64ui-v-fence_i	isa	PASS	0	69.788		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-fence_i/simulation.log
rv64ui-v-jalr	isa	PASS	0	39.102		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-jalr/simulation.log
rv64ui-v-lb	isa	PASS	0	68.657		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lb/simulation.log
rv64ui-v-lbu	isa	PASS	0	66.083		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lbu/simulation.log
rv64ui-v-ld	isa	PASS	0	68.244		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-ld/simulation.log
rv64ui-v-lh	isa	PASS	0	68.546		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lh/simulation.log
rv64ui-v-lui	isa	PASS	0	36.408		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-v-lui/simulation.log
