UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_253,4.531250e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_254,4.687500e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_255,4.843750e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_256,0.000000e+00,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_257,1.562500e-05,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_258,3.125000e-05,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_259,4.687500e-05,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_260,6.250000e-05,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_261,7.812500e-05,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_262,9.375000e-05,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_263,1.093750e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_264,1.250000e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_265,1.406250e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_266,1.562500e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_267,1.718750e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_268,1.875000e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_269,2.031250e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_270,2.187500e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_271,2.343750e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_272,2.500000e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_273,2.656250e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_274,2.812500e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_275,2.968750e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_276,3.125000e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_277,3.281250e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_278,3.437500e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_279,3.593750e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_280,3.750000e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_281,3.906250e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_282,4.062500e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_283,4.218750e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_284,4.375000e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_285,4.531250e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_286,4.687500e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_287,4.843750e-04,1.250000e-04,1.562500e-05,1.562500e-05,,Si
unit_288,0.000000e+00,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_289,1.562500e-05,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_290,3.125000e-05,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_291,4.687500e-05,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_292,6.250000e-05,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_293,7.812500e-05,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_294,9.375000e-05,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_295,1.093750e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_296,1.250000e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_297,1.406250e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_298,1.562500e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_299,1.718750e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_300,1.875000e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_301,2.031250e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_302,2.187500e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_303,2.343750e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_304,2.500000e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_305,2.656250e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_306,2.812500e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_307,2.968750e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_308,3.125000e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_309,3.281250e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_310,3.437500e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_311,3.593750e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_312,3.750000e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_313,3.906250e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_314,4.062500e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_315,4.218750e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
unit_316,4.375000e-04,1.406250e-04,1.562500e-05,1.562500e-05,,Si
